Day hour min     AOD QC2     AOD QC3  conc (um/cm2) avgbinQC2 avgbinQC3
 01   10  41        -NaN        -NaN           -NaN     5           5
 02   11  25     0.20033     0.20000        9.72281     1           1
 03   10  30     0.15700     0.13400        5.90847     0           1
 04   11  15     0.11167     0.10233        4.21316     1           1
 05   10  20     0.13300     0.16000        5.02185     0           1
 06   11  01     0.26300     0.26300        9.78617     0           0
 08   10  50     0.21600     0.21600        8.13992     0           0
 09   11  31     0.23725     0.25140       11.82650     3           3
 10   10  36     0.31300     0.22933       11.41083     0           1
 11   11  20     0.30900     0.42100       20.10427     1           3
 12   10  25     0.26050     0.26000       12.51150     1           1
 13   11  06     0.26300     0.26120       14.95555     1           1
 14   10  11     0.32560     0.30650       15.74852     1           1
 15   10  55     0.35000     0.29225       12.57306     0           1
 17   10  41     0.33300     0.25000       12.05178     0           1
 18   11  25     0.22833     0.21980       13.46358     1           1
 19   10  30     0.26800     0.23800        9.97192     0           1
 20   11  15     0.33814     0.38333       21.32783     1           1
 21   10  20     0.45767     0.43900       16.26462     1           1
 22   11  01     0.31400     0.31400       11.46654     0           0
 24   10  50     0.65167     0.67650       42.14075     3           3
 26   10  36     0.36000     0.30033       12.88863     0           1
 27   11  20     0.45100     0.45100       30.32306     1           1
 28   10  25     0.28600     0.27433       10.55746     0           1
 29   11  06     0.28475     0.40900       15.24948     1           1
 30   10  11     0.55700     0.55400       20.62989     1           1
 31   10  55     0.51771     0.50900       28.59285     3           3
