Profile Data:
Time                    	P                       	T    	Hu                 	Ws   	Wd          	Long.        	Lat.         	Geopot	Dewp.
[sec]                   	[hPa]                   	[°C] 	[%]                	[m/s]	[°]         	[°]          	[°]          	[m]   	[°C]
0                       	876.4                   	4.3  	100                	0.4  	333         	85.289622    	27.681836    	1311  	4.3
1                       	873.6                   	4.2  	97                 	0.5  	350         	85.289401    	27.681954    	1337  	3.7
2                       	870.8                   	4.0  	93                 	0.7  	021         	85.289180    	27.682073    	1363  	3.0
3                       	868.0                   	3.9  	90                 	0.8  	059         	85.288959    	27.682191    	1390  	2.3
4                       	865.2                   	3.7  	86                 	0.9  	081         	85.288738    	27.682309    	1416  	1.7
5                       	862.4                   	3.6  	83                 	1.0  	093         	85.288517    	27.682428    	1442  	1.0
6                       	859.6                   	3.5  	79                 	1.2  	099         	85.288296    	27.682546    	1468  	0.2
7                       	856.8                   	3.3  	76                 	1.3  	104         	85.288075    	27.682664    	1495  	-0.5
8                       	854.1                   	3.2  	72                 	1.4  	106         	85.287854    	27.682783    	1521  	-1.3
9                       	851.3                   	3.0  	69                 	1.5  	108         	85.287633    	27.682901    	1547  	-2.1
10                      	848.6                   	2.9  	67                 	1.7  	110         	85.287411    	27.683019    	1573  	-2.7
11                      	845.8                   	2.8  	67                 	1.8  	111         	85.287190    	27.683138    	1599  	-2.8
12                      	843.1                   	2.6  	67                 	1.9  	112         	85.286969    	27.683256    	1626  	-2.8
13                      	840.4                   	2.5  	67                 	2.0  	113         	85.286748    	27.683374    	1652  	-2.9
14                      	837.6                   	2.3  	68                 	2.2  	113         	85.286527    	27.683493    	1678  	-3.0
15                      	834.9                   	2.2  	68                 	2.3  	114         	85.286306    	27.683611    	1704  	-3.0
16                      	832.2                   	2.1  	68                 	2.4  	114         	85.286085    	27.683730    	1731  	-3.1
17                      	829.5                   	1.9  	69                 	2.6  	115         	85.285864    	27.683848    	1757  	-3.2
18                      	826.8                   	1.8  	69                 	2.7  	115         	85.285776    	27.683890    	1783  	-3.3
