Profile Data:
Time                    	P                       	T    	Hu                      	Ws   	Wd          	Long.    	Lat.     	Geopot	Dewp.
[sec]                   	[hPa]                   	[°C] 	[%]                     	[m/s]	[°]         	[°]      	[°]      	[m]   	[°C]
0                       	870.1                   	1.0  	100                     	0.5  	120         	85.289630	27.681797	1311  	1.0
1                       	869.2                   	1.3  	98                      	0.5  	120         	85.289633	27.681782	1319  	1.1
2                       	868.4                   	1.7  	97                      	0.5  	120         	85.289637	27.681767	1327  	1.2
3                       	867.5                   	2.0  	95                      	0.6  	119         	85.289640	27.681752	1335  	1.4
4                       	866.7                   	2.3  	94                      	0.6  	119         	85.289644	27.681737	1343  	1.5
5                       	865.8                   	2.7  	92                      	0.6  	119         	85.289647	27.681722	1351  	1.6
6                       	864.9                   	3.0  	91                      	0.6  	118         	85.289651	27.681707	1359  	1.7
7                       	864.1                   	3.4  	89                      	0.7  	116         	85.289654	27.681692	1367  	1.8
8                       	863.2                   	3.7  	88                      	0.7  	111         	85.289658	27.681677	1375  	1.9
9                       	862.4                   	3.9  	88                      	0.7  	355         	85.289662	27.681663	1383  	2.1
10                      	861.5                   	3.9  	88                      	0.7  	309         	85.289665	27.681648	1391  	2.1
11                      	860.7                   	3.9  	88                      	0.8  	305         	85.289669	27.681633	1399  	2.0
12                      	859.8                   	3.8  	87                      	0.8  	304         	85.289672	27.681618	1407  	2.0
13                      	859.0                   	3.8  	87                      	0.8  	303         	85.289676	27.681603	1415  	1.9
14                      	858.1                   	3.8  	87                      	0.8  	303         	85.289679	27.681588	1423  	1.8
15                      	857.3                   	3.7  	87                      	0.8  	303         	85.289683	27.681573	1431  	1.8
16                      	856.5                   	3.7  	87                      	0.9  	302         	85.289686	27.681558	1439  	1.7
17                      	855.6                   	3.7  	87                      	0.9  	302         	85.289692	27.681552	1447  	1.6
18                      	854.8                   	3.6  	86                      	0.9  	302         	85.289700	27.681551	1455  	1.6
19                      	854.0                   	3.6  	86                      	0.9  	302         	85.289708	27.681550	1462  	1.5
20                      	853.3                   	3.6  	86                      	1.0  	302         	85.289716	27.681549	1469  	1.5
21                      	852.6                   	3.5  	86                      	1.0  	302         	85.289723	27.681548	1476  	1.5
