Profile Data:
Time                    	P                      	T    	Hu                 	Ws   	Wd          	Long.    	Lat.     	Geopot	Dewp.
[sec]                   	[hPa]                  	[°C] 	[%]                	[m/s]	[°]         	[°]      	[°]      	[m]   	[°C]
0                       	868.2                  	4.0  	100                	0.0  	000         	85.289631	27.681807	1311  	4.0
1                       	867.5                  	4.3  	98                 	0.0  	213         	85.289638	27.681806	1318  	4.1
2                       	866.8                  	4.6  	97                 	0.0  	213         	85.289645	27.681805	1325  	4.1
3                       	866.0                  	4.9  	95                 	0.0  	213         	85.289652	27.681804	1331  	4.2
4                       	865.3                  	5.2  	93                 	0.1  	213         	85.289659	27.681803	1338  	4.2
5                       	864.6                  	5.5  	92                 	0.1  	213         	85.289667	27.681802	1345  	4.2
6                       	863.9                  	5.8  	90                 	0.1  	213         	85.289674	27.681801	1352  	4.3
7                       	863.2                  	5.9  	88                 	0.1  	213         	85.289681	27.681800	1359  	4.1
8                       	862.4                  	5.9  	87                 	0.1  	213         	85.289688	27.681798	1366  	4.0
9                       	861.7                  	5.9  	87                 	0.1  	213         	85.289695	27.681797	1372  	3.9
10                      	861.0                  	5.9  	87                 	0.1  	213         	85.289703	27.681796	1379  	3.8
11                      	860.3                  	5.8  	86                 	0.1  	213         	85.289710	27.681795	1386  	3.8
12                      	859.6                  	5.8  	86                 	0.2  	213         	85.289717	27.681794	1393  	3.7
13                      	858.8                  	5.8  	86                 	0.2  	213         	85.289724	27.681793	1400  	3.6
14                      	858.1                  	5.8  	86                 	0.2  	213         	85.289732	27.681792	1406  	3.6
15                      	857.4                  	5.8  	85                 	0.2  	213         	85.289739	27.681791	1413  	3.5
16                      	856.7                  	5.8  	85                 	0.2  	213         	85.289745	27.681790	1420  	3.4
17                      	855.9                  	5.7  	85                 	0.2  	213         	85.289752	27.681791	1427  	3.4
18                      	855.2                  	5.7  	84                 	0.2  	213         	85.289758	27.681791	1434  	3.3
19                      	854.5                  	5.7  	84                 	0.2  	213         	85.289764	27.681791	1441  	3.3
20                      	853.7                  	5.7  	84                 	0.3  	213         	85.289771	27.681792	1448  	3.2
21                      	853.0                  	5.6  	84                 	0.3  	213         	85.289777	27.681792	1455  	3.1
22                      	852.3                  	5.6  	84                 	0.3  	213         	85.289783	27.681793	1463  	3.1
23                      	851.6                  	5.5  	84                 	0.3  	213         	85.289790	27.681793	1470  	3.0
24                      	850.8                  	5.5  	84                 	0.3  	213         	85.289796	27.681793	1477  	3.0
25                      	850.1                  	5.4  	84                 	0.3  	213         	85.289802	27.681794	1484  	2.9
26                      	849.4                  	5.4  	84                 	0.3  	213         	85.289809	27.681794	1491  	2.9
27                      	848.6                  	5.4  	84                 	0.3  	213         	85.289815	27.681795	1498  	2.8
28                      	847.9                  	5.3  	84                 	0.4  	213         	85.289821	27.681795	1505  	2.8
29                      	847.2                  	5.3  	84                 	0.4  	213         	85.289828	27.681795	1512  	2.7
30                      	846.5                  	5.2  	83                 	0.4  	213         	85.289834	27.681796	1519  	2.7
31                      	845.7                  	5.2  	83                 	0.4  	220         	85.289840	27.681796	1526  	2.6
32                      	845.0                  	5.1  	83                 	0.5  	227         	85.289847	27.681797	1533  	2.6
33                      	844.3                  	5.1  	83                 	0.5  	233         	85.289853	27.681797	1540  	2.5
34                      	843.6                  	5.1  	83                 	0.5  	239         	85.289859	27.681797	1547  	2.5
35                      	842.8                  	5.0  	83                 	0.5  	244         	85.289866	27.681798	1554  	2.5
36                      	842.1                  	5.0  	83                 	0.6  	249         	85.289872	27.681798	1561  	2.5
37                      	841.4                  	5.0  	83                 	0.6  	253         	85.289878	27.681798	1568  	2.4
38                      	840.7                  	5.0  	83                 	0.6  	257         	85.289885	27.681799	1575  	2.4
39                      	839.9                  	4.9  	83                 	0.7  	261         	85.289891	27.681799	1582  	2.4
40                      	839.2                  	4.9  	84                 	0.7  	264         	85.289897	27.681800	1589  	2.4
41                      	838.5                  	4.9  	84                 	0.7  	267         	85.289904	27.681800	1596  	2.3
42                      	837.8                  	4.9  	84                 	0.8  	269         	85.289910	27.681800	1603  	2.3
43                      	837.1                  	4.8  	84                 	0.8  	272         	85.289916	27.681801	1610  	2.3
44                      	836.4                  	4.8  	84                 	0.8  	274         	85.289923	27.681801	1617  	2.3
45                      	835.7                  	4.8  	84                 	0.9  	276         	85.289929	27.681802	1624  	2.3
46                      	834.9                  	4.7  	84                 	0.9  	277         	85.289946	27.681796	1631  	2.2
47                      	834.2                  	4.7  	84                 	0.9  	279         	85.289965	27.681790	1638  	2.2
48                      	833.5                  	4.7  	83                 	1.0  	280         	85.289983	27.681784	1644  	2.1
49                      	832.8                  	4.7  	83                 	1.0  	281         	85.290001	27.681778	1651  	2.1
50                      	832.1                  	4.7  	83                 	1.0  	282         	85.290019	27.681772	1658  	2.0
51                      	831.4                  	4.7  	82                 	1.1  	283         	85.290037	27.681766	1665  	2.0
52                      	830.8                  	4.7  	82                 	1.1  	284         	85.290056	27.681760	1672  	1.9
53                      	830.1                  	4.7  	82                 	1.1  	285         	85.290074	27.681753	1678  	1.8
54                      	829.4                  	4.7  	81                 	1.2  	286         	85.290092	27.681747	1685  	1.8
55                      	828.7                  	4.7  	81                 	1.2  	287         	85.290110	27.681741	1692  	1.7
56                      	828.0                  	4.7  	81                 	1.2  	288         	85.290128	27.681735	1699  	1.7
57                      	827.3                  	4.7  	80                 	1.3  	288         	85.290147	27.681729	1706  	1.6
58                      	826.6                  	4.7  	80                 	1.3  	289         	85.290165	27.681723	1712  	1.6
59                      	825.9                  	4.7  	80                 	1.3  	289         	85.290183	27.681717	1719  	1.5
