Day hour min     AOD QC2     AOD QC3  conc (um/cm2) avgbinQC2 avgbinQC3
 01   10  20        -NaN        -NaN           -NaN     5           5
 02   11  01     0.28367        -NaN       15.66284     3           5
 04   10  50     0.39200     0.28757       26.00697     1           3
 06   10  36     0.25900     0.25900        9.65715     0           0
 07   11  20     0.13267     0.13700        8.12286     1           1
 08   10  25     0.25700     0.18700       14.59777     3           3
 09   11  06     0.19600     0.19600       10.48967     0           0
 10   10  11     0.33225     0.33225       19.19036     3           3
 11   10  55     0.21200        -NaN       12.03418     3           5
 13   10  41     0.31400     0.17100       17.62934     0           1
 13   10  45     0.28800        -NaN       10.64757     1           5
 14   11  26     0.19200     0.19200       12.29966     0           0
 15   10  31     0.63989     0.66740       25.49652     3           3
 16   11  15     0.44050     0.44050       29.57895     1           1
 17   10  20     0.34540     0.37250       14.85903     1           1
 18   11  01     0.10000     0.10000        3.79661     0           0
 20   10  50     0.24500     0.24500        9.20034     0           0
 22   10  36     0.32000     0.32000       11.66031     0           0
 23   11  20     0.48075     0.49300       25.29181     1           1
 24   10  25     0.27500     0.27500       16.15274     0           0
 25   11  06     0.28200     0.28200       12.87006     0           0
 26   10  11     0.44800     0.44800       15.45546     0           0
 27   10  55     0.45800     0.45800       18.93637     0           0
 29   10  41     0.36800     0.36800       17.74511     0           0
 30   11  26     0.21700     0.19817       13.30469     0           1
 31   10  31        -NaN        -NaN           -NaN     5           5
