year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2017,1,1,12,46,0.35975,0.36382,18.41502,3,3
2017,1,2,13,30,0.201,0.17717,9.6717,1,3
2017,1,4,13,16,0.228,0.228,8.59021,0,0
2017,1,5,14,0,0.1355,0.0995,5.11906,1,1
2017,1,6,13,5,0.164,0.164,6.17589,0,0
2017,1,7,13,46,0.16267,0.16267,6.13301,1,1
2017,1,8,12,51,0.2655,0.243,15.59816,1,1
2017,1,9,13,35,0.175,0.19733,6.59253,0,1
2017,1,10,12,40,0.292,0.58543,18.07319,1,3
2017,1,11,13,21,0.2168,0.21225,10.21185,3,3
2017,1,11,13,25,0.432,0.432,21.93348,1,1
2017,1,13,13,11,0.2655,0.2495,11.80394,1,1
2017,1,14,13,55,0.20375,0.218,7.71704,1,1
2017,1,15,13,0,0.164,0.15325,6.18748,0,1
2017,1,16,13,41,0.105,0.105,3.97772,0,0
2017,1,17,12,46,0.075,0.1092,2.8524,0,1
2017,1,18,13,30,0.171,0.171,6.43812,0,0
2017,1,20,13,16,0.06214,0.06214,2.17478,3,3
2017,1,21,14,0,0.113,0.113,4.86267,1,1
2017,1,22,13,5,0.225,0.225,13.22717,0,0
2017,1,23,13,46,0.119,0.14425,4.49559,0,1
2017,1,24,12,51,0.333,0.333,21.80531,0,0
2017,1,25,13,35,0.181,0.181,6.83736,0,0
2017,1,26,12,40,0.121,0.121,7.78113,0,0
2017,1,27,13,25,0.2912,0.28233,17.37342,5,5
2017,1,29,13,11,0.256,0.256,9.5469,0,0
2017,1,30,13,55,0.449,0.43356,15.51794,1,3
2017,1,31,13,0,0.355,0.32,12.74858,0,1
2017,2,1,13,41,0.529,0.5061,17.89608,1,3
2017,2,2,12,46,0.596,0.8905,40.95303,1,3
2017,2,3,13,30,0.45043,0.45043,18.54135,3,3
2017,2,5,13,16,0.16075,0.175,6.5547,3,3
2017,2,6,14,0,0.39,0.39,13.76294,0,0
2017,2,7,13,5,0.168,0.168,6.32264,0,0
2017,2,8,13,46,0.09275,0.10733,3.83607,1,1
2017,2,9,12,51,0.24457,0.25783,13.29228,3,3
2017,2,10,13,35,0.07775,0.07775,2.94575,1,1
2017,2,11,12,40,0.123,0.123,5.29406,0,0
2017,2,12,13,25,0.36,0.36,12.88945,0,0
2017,2,14,13,11,0.292,0.292,10.76255,0,0
2017,2,15,13,55,0.712,0.712,40.3597,5,5
2017,2,16,13,0,0.386,0.386,20.62656,0,0
2017,2,17,13,41,0.448,0.448,15.44561,0,0
2017,2,18,12,46,0.604,0.604,41.50506,0,0
2017,2,19,13,30,0.667,0.667,21.69053,0,1
2017,2,21,13,16,0.073,0.073,2.75534,0,0
2017,2,22,14,0,0.224,0.1894,8.44763,0,1
2017,2,23,13,5,0.11,0.11,4.16401,0,0
2017,2,24,13,46,0.023,0.023,0.87228,0,0
2017,2,25,12,51,0.815,0.815,46.6782,1,1
2017,2,26,13,36,0.409,0.409,14.41807,1,1
2017,2,27,12,41,0.83842,0.84514,59.07831,3,3
2017,2,28,13,25,0.5644,0.52767,18.78091,1,1
2017,3,2,13,11,0.307,0.307,11.22087,0,0
2017,3,3,13,55,0.10057,0.0855,3.80684,1,1
2017,3,4,13,0,0.169,0.169,8.67541,1,1
2017,3,5,13,41,0.087,0.085,3.28661,1,1
2017,3,6,12,46,0.111,0.111,4.17757,0,0
2017,3,7,13,30,0.165,0.2596,6.23762,0,1
2017,3,9,13,16,0.287,0.287,10.55745,1,1
2017,3,10,14,0,0.501,0.6185,30.36774,1,3
2017,3,11,13,5,,,,5,5
2017,3,12,13,46,0.31815,0.34867,19.70341,3,3
2017,3,12,13,50,0.201,0.201,12.88826,1,1
2017,3,13,12,51,0.106,0.106,4.01918,0,0
2017,3,13,12,55,0.18,0.18,11.51716,0,0
2017,3,14,13,36,0.408,0.32729,14.34016,1,3
2017,3,15,12,41,0.285,0.41167,13.73425,1,3
2017,3,16,13,25,0.445,0.35867,15.38778,0,3
2017,3,18,13,11,0.5295,0.553,17.82121,1,1
2017,3,19,13,55,,,,5,5
2017,3,20,13,0,0.405,,14.35308,5,5
2017,3,21,13,41,0.362,0.322,12.94377,1,1
2017,3,22,12,46,0.5825,,36.00073,3,5
2017,3,23,13,30,0.527,0.597,17.838,3,5
2017,3,25,13,16,0.256,0.256,9.557,0,0
2017,3,26,14,1,0.591,0.68991,19.73471,1,3
2017,3,27,13,5,0.71,0.693,30.70658,3,3
2017,3,28,13,50,,,,5,5
2017,3,29,12,55,,,,5,5
2017,3,30,13,36,0.608,0.608,20.14038,3,3
2017,3,31,12,41,0.556,0.86463,71.43706,3,5
2017,4,1,13,25,0.55,0.735,18.42221,1,3
2017,4,3,13,11,0.643,0.457,21.03459,0,1
2017,4,4,13,55,0.349,0.349,15.81803,0,0
2017,4,5,13,0,0.508,0.65814,17.22627,0,3
2017,4,6,13,41,0.223,0.223,8.39494,0,0
2017,4,7,12,46,0.328,0.328,19.35044,0,0
2017,4,8,13,30,0.205,0.205,7.74092,0,0
2017,4,10,13,16,0.259,0.259,9.63128,0,0
2017,4,11,14,0,0.549,0.549,24.13215,0,0
2017,4,12,13,5,0.80467,0.80467,43.4566,1,1
2017,4,13,13,46,0.811,0.811,25.09857,0,0
2017,4,13,13,50,0.892,0.892,45.54317,1,1
2017,4,14,12,51,,,77.18505,5,5
2017,4,14,12,55,,,,5,5
2017,4,15,13,36,0.877,0.877,26.82581,1,1
2017,4,16,12,41,0.236,0.236,15.09173,0,0
2017,4,17,13,25,0.479,0.36167,16.38703,0,1
2017,4,19,13,11,,,73.96735,5,5
2017,4,20,13,55,,,,5,5
2017,4,21,13,0,0.7325,0.7325,35.618,1,1
2017,4,22,13,41,,,,5,5
2017,4,23,12,46,,,118.33337,5,5
2017,4,24,13,30,0.32467,0.21362,11.75693,1,3
2017,4,26,13,16,0.276,0.276,10.21079,0,0
2017,4,27,14,0,0.339,0.361,15.08037,1,1
2017,4,28,13,5,0.686,0.53833,34.80058,0,1
2017,4,29,13,46,0.677,0.707,39.78731,3,3
2017,4,29,13,50,0.6485,0.67,30.06219,3,3
2017,4,30,12,51,0.50083,0.4506,26.26857,3,3
2017,5,1,13,36,0.52,0.47633,33.59747,5,5
2017,5,2,12,41,0.305,0.28633,14.71453,1,1
2017,5,3,13,25,,,,5,5
2017,5,5,13,11,0.326,0.326,11.82945,0,0
2017,5,6,13,55,0.873,0.934,63.71778,3,3
2017,5,7,13,0,0.882,0.796,37.32766,0,1
2017,5,8,13,41,0.90133,0.934,33.52573,3,3
2017,5,9,12,46,0.4705,0.306,31.79868,3,3
2017,5,10,13,30,0.3605,0.446,18.50432,3,3
2017,5,12,13,16,0.676,0.4004,21.90941,1,3
2017,5,13,14,0,0.3345,0.347,15.58173,1,1
2017,5,14,13,5,0.54567,0.648,24.6133,3,3
2017,5,15,13,46,,,41.58279,5,5
2017,5,16,12,51,0.7915,0.78463,37.45548,3,3
2017,5,17,13,36,,,,5,5
2017,5,18,12,41,0.553,0.62343,33.85434,1,5
2017,5,19,13,25,0.19,0.2625,7.16236,1,3
2017,5,21,13,11,0.628,0.628,20.62062,0,0
2017,5,22,13,55,0.453,0.41075,15.54104,0,1
2017,5,23,13,0,0.28,0.28,10.34379,0,0
2017,5,24,13,41,0.4264,0.4348,18.91318,3,3
2017,5,25,12,46,0.511,0.749,20.9287,1,3
2017,5,26,13,30,0.41884,0.4292,14.6371,3,3
2017,5,28,13,16,0.5484,0.521,18.79956,3,3
2017,5,29,14,0,,,,5,5
