year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2017,1,1,11,15,0.32717,0.338,13.89036,3,3
2017,1,2,10,20,0.16067,0.155,6.06734,1,1
2017,1,3,11,1,0.215,0.215,8.09774,0,0
2017,1,5,10,50,0.294,0.294,10.82038,0,0
2017,1,7,10,36,0.277,0.277,10.25618,0,0
2017,1,8,11,20,0.192,0.192,7.25462,0,0
2017,1,9,10,25,0.175,0.1612,6.61571,0,1
2017,1,10,11,6,0.218,0.22225,10.89078,1,1
2017,1,11,10,11,0.299,0.276,11.4153,1,1
2017,1,12,10,55,0.45,0.45,15.53205,0,0
2017,1,14,10,41,0.3,0.3,11.00745,0,0
2017,1,15,11,25,0.286,0.2975,18.50253,1,3
2017,1,16,10,30,0.173,0.173,6.54374,0,0
2017,1,17,11,15,0.118,0.118,4.44981,0,0
2017,1,18,10,16,0.12,0.1256,4.5345,0,3
2017,1,18,10,20,0.112,0.10488,4.24962,0,1
2017,1,19,11,1,0.194,0.194,7.32445,0,0
2017,1,21,10,50,0.225,0.225,8.47013,0,0
2017,1,23,10,36,0.259,0.259,9.66442,0,0
2017,1,24,11,20,0.318,0.318,17.84605,0,0
2017,1,25,10,25,0.144,0.14275,5.44455,0,1
2017,1,26,11,6,0.224,0.224,14.33368,0,0
2017,1,27,10,11,,,,5,5
2017,1,28,10,55,0.217,0.217,10.47806,0,0
2017,1,30,10,41,0.386,0.386,13.68487,0,0
2017,1,31,11,25,0.52667,0.63744,35.32738,1,3
2017,2,1,10,30,0.448,0.467,15.46662,0,1
2017,2,2,11,15,0.628,0.6585,41.06174,0,1
2017,2,3,10,16,0.486,0.486,18.37377,0,0
2017,2,3,10,20,0.35917,0.328,12.79245,1,1
2017,2,4,11,1,0.331,0.205,11.99604,0,1
2017,2,6,10,50,0.338,0.338,12.23075,0,0
2017,2,8,10,36,0.289,0.289,10.66641,0,0
2017,2,9,11,20,0.61,0.836,41.24181,5,5
2017,2,10,10,25,0.064,0.12367,2.42702,0,1
2017,2,11,11,6,0.106,0.106,4.01855,0,0
2017,2,12,10,11,0.145,0.18586,5.46278,0,1
2017,2,13,10,55,0.325,0.325,11.80149,0,0
2017,2,15,10,41,0.384,0.384,13.55434,1,1
2017,2,16,11,25,0.531,0.531,36.21212,0,0
2017,2,17,10,30,0.407,0.407,14.30924,0,0
2017,2,18,11,11,,,,5,5
2017,2,18,11,15,0.585,0.585,40.08132,0,0
2017,2,19,10,16,0.646,0.646,21.21789,3,3
2017,2,19,10,20,0.615,0.65193,20.18821,1,3
2017,2,20,11,1,0.271,0.271,10.05383,0,0
2017,2,22,10,50,0.603,0.616,47.90747,5,5
2017,2,24,10,36,0.128,0.10683,4.84755,0,1
2017,2,25,11,20,0.81367,0.81367,61.03212,1,1
2017,2,26,10,25,0.58075,0.668,19.32312,1,1
2017,2,27,11,6,0.68733,0.6435,36.72544,1,1
2017,2,28,10,11,0.484,0.5436,16.52821,0,1
2017,3,1,10,55,0.547,0.547,18.35741,0,0
2017,3,3,10,41,0.201,0.201,7.57838,0,0
2017,3,4,11,25,0.2142,0.22357,13.75603,3,3
2017,3,5,10,30,0.217,0.217,8.19696,0,0
2017,3,6,11,15,0.076,0.076,2.87263,0,0
2017,3,7,10,16,,,,5,5
2017,3,7,10,20,0.30871,0.22867,18.00926,3,3
2017,3,8,11,1,0.32,0.32,19.82669,0,0
2017,3,10,10,50,0.6486,0.716,39.30391,3,3
2017,3,12,10,36,0.343,0.343,18.31168,0,0
2017,3,13,11,20,0.129,0.129,8.26163,0,0
2017,3,14,10,25,0.515,0.527,17.49353,1,1
2017,3,15,11,6,0.312,0.28817,20.28215,1,3
2017,3,16,10,11,0.368,0.368,13.14538,0,0
2017,3,17,10,55,0.47,0.47,16.10687,0,0
2017,3,19,10,41,,,,5,5
2017,3,20,11,25,0.5785,0.561,39.60889,1,1
2017,3,21,10,30,0.445,0.34678,15.41948,1,3
2017,3,22,11,15,0.734,0.734,48.43597,1,1
2017,3,23,10,16,,,,5,5
2017,3,23,10,20,0.983,0.983,29.66191,3,3
2017,3,24,11,1,0.70883,0.746,65.44673,3,3
2017,3,26,10,50,0.69475,0.7415,27.24227,1,1
2017,3,28,10,36,,,31.68429,5,5
2017,3,29,11,20,,,,5,5
