Profile Data:
Time                    	P                      	T    	Hu                      	Ws   	Wd          	Long.    	Lat.     	Geopot	Dewp.
[sec]                   	[hPa]                  	[°C] 	[%]                     	[m/s]	[°]         	[°]      	[°]      	[m]   	[°C]
0                       	870.6                  	6.1  	100                     	0.4  	211         	85.289642	27.681809	1311  	6.1
1                       	869.7                  	6.2  	98                      	0.4  	211         	85.289633	27.681817	1320  	5.9
2                       	868.8                  	6.3  	96                      	0.4  	211         	85.289624	27.681825	1328  	5.8
3                       	867.9                  	6.4  	94                      	0.4  	210         	85.289615	27.681833	1337  	5.6
4                       	866.9                  	6.6  	93                      	0.4  	210         	85.289606	27.681841	1346  	5.4
5                       	866.0                  	6.7  	91                      	0.4  	210         	85.289597	27.681849	1354  	5.3
6                       	865.1                  	6.8  	89                      	0.3  	210         	85.289588	27.681857	1363  	5.1
7                       	864.2                  	6.8  	87                      	0.3  	209         	85.289580	27.681865	1371  	4.8
8                       	863.3                  	6.7  	86                      	0.3  	209         	85.289571	27.681873	1380  	4.6
9                       	862.4                  	6.7  	86                      	0.3  	208         	85.289562	27.681881	1389  	4.5
10                      	861.5                  	6.6  	86                      	0.3  	208         	85.289553	27.681889	1397  	4.5
11                      	860.6                  	6.6  	86                      	0.3  	207         	85.289544	27.681897	1406  	4.4
12                      	859.7                  	6.5  	86                      	0.3  	207         	85.289535	27.681905	1415  	4.3
13                      	858.8                  	6.5  	86                      	0.3  	206         	85.289526	27.681913	1423  	4.3
14                      	857.9                  	6.4  	86                      	0.3  	205         	85.289518	27.681921	1432  	4.2
15                      	857.0                  	6.3  	86                      	0.3  	203         	85.289510	27.681928	1441  	4.1
16                      	856.1                  	6.3  	86                      	0.3  	202         	85.289510	27.681929	1449  	4.1
17                      	855.2                  	6.2  	86                      	0.2  	199         	85.289510	27.681930	1458  	4.0
18                      	854.3                  	6.2  	86                      	0.2  	196         	85.289510	27.681930	1466  	3.9
19                      	853.6                  	6.1  	86                      	0.2  	192         	85.289509	27.681931	1473  	3.9
20                      	853.0                  	6.1  	86                      	0.2  	185         	85.289509	27.681932	1480  	3.8
21                      	852.3                  	6.0  	86                      	0.2  	174         	85.289509	27.681932	1486  	3.8
22                      	851.7                  	6.0  	86                      	0.2  	153         	85.289509	27.681933	1492  	3.7
23                      	851.0                  	5.9  	86                      	0.2  	120         	85.289509	27.681934	1498  	3.7
24                      	850.3                  	5.9  	86                      	0.2  	090         	85.289509	27.681934	1504  	3.7
