Profile Data:
Time                    	P                      	T    	Hu                     	Ws   	Wd          	Long.    	Lat.     	Geopot	Dewp.
[sec]                   	[hPa]                  	[°C] 	[%]                    	[m/s]	[°]         	[°]      	[°]      	[m]   	[°C]
0                       	870.8                  	5.0  	100                    	0.6  	287         	85.289641	27.681798	1311  	5.0
1                       	870.1                  	5.2  	99                     	0.6  	286         	85.289638	27.681804	1318  	5.1
2                       	869.3                  	5.4  	98                     	0.6  	284         	85.289635	27.681809	1325  	5.1
3                       	868.6                  	5.7  	96                     	0.6  	282         	85.289631	27.681815	1332  	5.1
4                       	867.9                  	5.9  	95                     	0.6  	280         	85.289628	27.681820	1339  	5.2
5                       	867.2                  	6.1  	94                     	0.6  	278         	85.289625	27.681826	1345  	5.2
6                       	866.4                  	6.3  	93                     	0.7  	274         	85.289621	27.681832	1352  	5.3
7                       	865.7                  	6.4  	92                     	0.7  	270         	85.289618	27.681837	1359  	5.1
8                       	865.0                  	6.3  	91                     	0.7  	264         	85.289615	27.681843	1366  	5.0
9                       	864.2                  	6.3  	91                     	0.7  	256         	85.289612	27.681848	1373  	4.9
10                      	863.5                  	6.2  	90                     	0.7  	246         	85.289608	27.681854	1380  	4.8
11                      	862.8                  	6.2  	90                     	0.7  	232         	85.289605	27.681859	1387  	4.7
12                      	862.1                  	6.1  	90                     	0.7  	215         	85.289602	27.681865	1394  	4.6
13                      	861.4                  	6.1  	90                     	0.7  	198         	85.289598	27.681871	1400  	4.5
14                      	860.6                  	6.0  	89                     	0.7  	183         	85.289595	27.681876	1407  	4.4
15                      	859.9                  	6.0  	89                     	0.7  	171         	85.289591	27.681882	1414  	4.3
16                      	859.2                  	5.9  	89                     	0.7  	162         	85.289588	27.681890	1421  	4.2
17                      	858.5                  	5.9  	88                     	0.7  	156         	85.289584	27.681898	1428  	4.1
18                      	857.7                  	5.8  	88                     	0.8  	151         	85.289580	27.681906	1435  	4.0
19                      	857.1                  	5.7  	88                     	0.8  	148         	85.289576	27.681914	1441  	3.9
20                      	856.4                  	5.7  	87                     	0.8  	145         	85.289572	27.681922	1447  	3.8
21                      	855.8                  	5.7  	87                     	0.8  	142         	85.289568	27.681930	1454  	3.8
22                      	855.1                  	5.7  	88                     	0.8  	140         	85.289564	27.681938	1460  	3.8
23                      	854.5                  	5.6  	88                     	0.8  	139         	85.289560	27.681946	1466  	3.7
24                      	853.8                  	5.6  	88                     	0.8  	137         	85.289556	27.681954	1472  	3.7
25                      	853.2                  	5.6  	88                     	0.8  	136         	85.289552	27.681962	1479  	3.7
26                      	852.5                  	5.6  	88                     	0.8  	135         	85.289548	27.681970	1485  	3.7
27                      	851.9                  	5.5  	88                     	0.8  	134         	85.289544	27.681979	1491  	3.7
28                      	851.2                  	5.5  	88                     	0.8  	134         	85.289540	27.681987	1497  	3.6
29                      	850.6                  	5.5  	88                     	0.9  	133         	85.289536	27.681995	1503  	3.6
30                      	849.9                  	5.5  	88                     	0.9  	132         	85.289532	27.682003	1510  	3.6
31                      	849.3                  	5.4  	88                     	0.9  	133         	85.289528	27.682011	1516  	3.6
32                      	848.7                  	5.4  	88                     	0.9  	134         	85.289524	27.682019	1522  	3.6
33                      	848.0                  	5.4  	88                     	0.9  	134         	85.289520	27.682027	1528  	3.6
34                      	847.4                  	5.4  	88                     	0.9  	135         	85.289517	27.682035	1535  	3.5
35                      	846.7                  	5.4  	88                     	0.9  	135         	85.289513	27.682043	1541  	3.5
36                      	846.1                  	5.4  	88                     	0.9  	136         	85.289509	27.682051	1547  	3.5
37                      	845.4                  	5.4  	88                     	0.9  	136         	85.289505	27.682059	1553  	3.5
38                      	844.8                  	5.3  	88                     	0.9  	137         	85.289501	27.682067	1559  	3.4
39                      	844.1                  	5.3  	87                     	0.9  	138         	85.289497	27.682075	1566  	3.4
40                      	843.5                  	5.3  	87                     	0.9  	138         	85.289493	27.682083	1572  	3.4
41                      	842.9                  	5.3  	87                     	0.9  	139         	85.289489	27.682091	1578  	3.4
42                      	842.2                  	5.3  	87                     	0.9  	139         	85.289485	27.682099	1584  	3.4
43                      	841.6                  	5.3  	87                     	0.9  	140         	85.289481	27.682107	1591  	3.3
44                      	840.9                  	5.3  	87                     	0.9  	140         	85.289477	27.682115	1597  	3.3
45                      	840.3                  	5.3  	87                     	0.9  	141         	85.289472	27.682123	1603  	3.3
46                      	839.6                  	5.3  	87                     	0.9  	141         	85.289455	27.682127	1609  	3.3
47                      	838.9                  	5.2  	87                     	0.9  	142         	85.289439	27.682132	1616  	3.2
48                      	838.3                  	5.2  	87                     	0.9  	142         	85.289422	27.682136	1623  	3.2
49                      	837.6                  	5.2  	87                     	0.9  	143         	85.289406	27.682141	1629  	3.1
50                      	836.9                  	5.1  	86                     	0.9  	143         	85.289390	27.682145	1636  	3.0
